sku,description
680,"This highly polished oak 2-piece indoor flagpole features a beautiful finish, sturdy metal screw joint and slightly tapered top. It's 12 feet high, has a diameter of 1 3/8"" and is perfect for any indoor flag display! Ornament (pole topper) sold seperately. 
<br><br>
<i>*Because of the height and weight of this pole, it should be used only with our Admiral Flag Stand linked <a href=""http://www.americanflags.com/adflst.html"">here</a></i>"
SPW120I,"<P align=""justify"">This Heavy Duty A-36 Carbon Steel flagpole stands 120"" in height. It has butt diameter of 16"", a top diameter of 6.625,"" and a wall thickness of .500"". It is engineered to withstand windspeeds of up to 130 MPH unflagged. It ships in four sections, joined with seamless steel concentric reducers, which provide a uniform tapered appearance.<br><br>
<h2>Standard Features include:</h2><br>
<li> Gold Anodized Aluminum Ball<br>
<li> Stainless steel aircraft cable halyard<br>
<li> Chrome plated bronze swivel snaphooks<br>
<li> Neoprene snaphook covers<br>
<li> Beaded sling assembly<br>
<li> Plastic covered counterweights<br>
<li> Stainless steel winch assembly, with removable hand crank<br>
<li> Flush access door with cylinder lock and piano hinge<br>
<li> Spun aluminum flash collar to match pole<br>
<li> Galvanized corrugated steel ground sleeve with grounding spike<br>
<li> Urethane gloss enamel finish, designed for maximum gloss and color retention.<br><br>
Great for any commercial application and very popular among retailers, including car dealers!

We recommend a <a href=""http://www.americanflags.com/30x50totexam.html"">30' X 50' Tough Tex Flag</a> for this 120' steel flagpole.

<P align=""justify"">THESE POLES ARE SHIPPED BY VIA TRUCK FROM LOCATIONS ACROSS THE UNITED STATES. THE SHIPPING COSTS SHOWN AT CHECKOUT REFLECTS A GENERAL ESTIMATE OF SHIPPING COSTS. WE WILL CONTACT YOU AFTER YOU PLACE YOUR ORDER IF THE ACTUAL SHIPPING COSTS TO YOUR LOCATION ARE MORE OR LESS THAN YOU WERE INITIALLY CHARGED. YOU MAY CANCEL YOUR ORDER WITHOUT CHARGE AT THAT POINT IF THE COSTS ARE NOT ACCEPTABLE TO YOU.

Shipping weight: 7,957 LBS"
SPW120H,"<P align=""justify"">This A-36 Carbon Steel flagpole stands 120"" in height. It has butt diameter of 16,"" a top diameter of 6.625"" and a wall thickness of .375."" It is engineered to withstand windspeeds of up to 105 MPH unflagged. It ships in four sections, joined with seamless steel concentric reducers, which provide a uniform tapered appearance.<br><br>
<h2>Standard Features include:</h2><br>
<li> Gold Anodized Aluminum Ball<br>
<li> Stainless steel aircraft cable halyard<br>
<li> Chrome plated bronze swivel snaphooks<br>
<li> Neoprene snaphook covers<br>
<li> Beaded sling assembly<br>
<li> Plastic covered counterweights<br>
<li> Stainless steel winch assembly, with removable hand crank<br>
<li> Flush access door with cylinder lock and piano hinge<br>
<li> Spun aluminum flash collar to match pole<br>
<li> Galvanized corrugated steel ground sleeve with grounding spike<br>
<li> Urethane gloss enamel finish, designed for maximum gloss and color retention.<br><br>
Great for any commercial application and very popular among retailers, including car dealers!

We recommend a <a href=""http://www.americanflags.com/30x50totexam.html"">30' X 50' Tough Tex Flag</a> for this 120' steel flagpole.

<P align=""justify"">THESE POLES ARE SHIPPED BY VIA TRUCK FROM LOCATIONS ACROSS THE UNITED STATES. THE SHIPPING COSTS SHOWN AT CHECKOUT REFLECTS A GENERAL ESTIMATE OF SHIPPING COSTS. WE WILL CONTACT YOU AFTER YOU PLACE YOUR ORDER IF THE ACTUAL SHIPPING COSTS TO YOUR LOCATION ARE MORE OR LESS THAN YOU WERE INITIALLY CHARGED. YOU MAY CANCEL YOUR ORDER WITHOUT CHARGE AT THAT POINT IF THE COSTS ARE NOT ACCEPTABLE TO YOU.

Shipping weight: 6,091 LBS"
SPW130H,"<P align=""justify"">This A-36 Carbon Steel flagpole stands 130"" in height. It has butt diameter of 18,"" a top diameter of 6.625"" and a wall thickness of .375."" It is engineered to withstand windspeeds of up to 105 MPH unflagged. It ships in four sections, joined with seamless steel concentric reducers, which provide a uniform tapered appearance.<br><br>
<h2>Standard Features include:</h2><br>
<li> Gold Anodized Aluminum Ball<br>
<li> Stainless steel aircraft cable halyard<br>
<li> Chrome plated bronze swivel snaphooks<br>
<li> Neoprene snaphook covers<br>
<li> Beaded sling assembly<br>
<li> Plastic covered counterweights<br>
<li> Stainless steel winch assembly, with removable hand crank<br>
<li> Flush access door with cylinder lock and piano hinge<br>
<li> Spun aluminum flash collar to match pole<br>
<li> Galvanized corrugated steel ground sleeve with grounding spike<br>
<li> Urethane gloss enamel finish, designed for maximum gloss and color retention.<br><br>
Great for any commercial application and very popular among retailers, including car dealers!

We recommend a <a href=""http://www.americanflags.com/30x50totexam.html"">30' X 50' Tough Tex Flag</a> for this 120' steel flagpole.

<P align=""justify"">THESE POLES ARE SHIPPED BY VIA TRUCK FROM LOCATIONS ACROSS THE UNITED STATES. THE SHIPPING COSTS SHOWN AT CHECKOUT REFLECTS A GENERAL ESTIMATE OF SHIPPING COSTS. WE WILL CONTACT YOU AFTER YOU PLACE YOUR ORDER IF THE ACTUAL SHIPPING COSTS TO YOUR LOCATION ARE MORE OR LESS THAN YOU WERE INITIALLY CHARGED. YOU MAY CANCEL YOUR ORDER WITHOUT CHARGE AT THAT POINT IF THE COSTS ARE NOT ACCEPTABLE TO YOU.

Shipping weight: 7,456 LBS"
1218CANYL,"Ideal for outdoor or indoor display, these 12' X 18' California state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. These flags are Made in America and are on sale now!"
EF021573,"<P align=""justify"">Ideal for outdoor or indoor display, these Texas state flags are made of 100% heavyweight nylon and specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets and steel rope thimbles. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.<p><b>These flags are Made in America and are on sale now!</"
EF070125,"These 12"" X 18"" handheld Marine Corps flags are mounted on a 30"" staff and perfect for indoor or outdoor use at parades, ceremonies or events. The flags feature vivid colors, fine sitching and careful construction designed to honor the U.S. Marine Corps. Be sure to check out our volume discounts."
AF002600WE,"AmericanFlags.com is proud to offer these 12"" X 18"" All-American US flags, which are carefully treated to resist fading, tearing and the shredding you see in foreign-made American flags.
Our own testing reveals that these flags outlast other nylon flags by as much as 33%!
<ul>
<li>Premium 200-denier nylon sourced in the USA, not from China.</li>
<li>Inks stay bright, bold and keep your flag looking sharp.</li>
<li>Nylon fabric is specially treated to resist UV radiation.</li>
<li>Four rows of lock stitching on flag ends to resist wind shredding.</li>
<li>Double rowed stitching on top and bottom flag hems.</li>
<li>Heavy duty rust-proof brass grommets.</li>
<li>Industrial strength canvas header is virtually indestructible.</li>
<li>Embroidered stars, sewn stripes with color matched stitching.</li>
<li>Lightweight - flies proudly in the lightest breeze and dries quickly.</li>
<li>These flags and all their components are Made in America!</li>
</ul>
AmericanFlags.com sells more US flags than virtually any other online retailer. As such, we buy in bulk and can ship them to you faster and at lower cost.

We guarantee that every flag will stay colorfast for one full year from the date of purchase or we will replace it at NO CHARGE.

Buy genuine American-Made flags from AmericanFlags.com, your trusted name in flags."
AF2360,"AmericanFlags.com is proud to offer these 12' X 18' All-American US flags, which are carefully treated to resist fading, tearing and the shredding you see in foreign-made American flags.
Our own testing reveals that these flags outlast other nylon flags by as much as 33%!
<ul>
<li>Premium 200-denier nylon sourced in the USA, not from China.</li>
<li>Inks stay bright, bold and keep your flag looking sharp.</li>
<li>Nylon fabric is specially treated to resist UV radiation.</li>
<li>Four rows of lock stitching on flag ends to resist wind shredding.</li>
<li>Double rowed stitching on top and bottom flag hems.</li>
<li>Heavy duty roped heading with rust-proof hooks.</li>
<li>Industrial strength canvas header is virtually indestructible.</li>
<li>Appliqu<li>d stars, sewn stripes with color matched stitching.</li>
<li>Lightweight - flies proudly in the lightest breeze and dries quickly.</li>
<li>These flags and all their components are Made in America!</li>
</ul>
AmericanFlags.com sells more US flags than virtually any other online retailer. As such, we buy in bulk and can ship them to you faster and at lower cost.

We guarantee that every flag will stay colorfast for one full year from the date of purchase or we will replace it at NO CHARGE.

Buy genuine American-Made flags from AmericanFlags.com, your trusted name in flags."
VFGD1812,"These flags are great for business or commercial use or for personal use to express school spirit, team pride or a milestone like a wedding or birth of a baby. Our custom garden flags measure 12"" X 18"" and can be displayed in minutes on a garden flag holder sold separately. These are single reverse flags with a mirror image on reverse side.

<i>Minimum quantity on these flags is just 12 pieces and discounts apply to flags with identical designs.</i>"
1218Customstick,"Measuring 12"" X 18"", these custom stick flags feature high grade nylon and are stapled to a 30"" ebonized plastic dowel with a gold topper. These flags are printed one-sided with a mirror image on reverse.

<i>Minimum quantity is 12 pieces and quantity discounts apply to flags made in the same size with the same design.</i>"
AF111300,"Our handheld Christian flags are constructed with the finest quality materials, and specially engineered for durability and beauty. These 12"" X 18"" handheld Christian flags are mounted on staffs that measure 3/8"" by 30."" Be sure to check out our quantity discounts."
EF070174,"These handheld POW-MIA flags are perfect for parades, ceremonies or gravesites. The are carefully printed on soft, silky, top-of-the-line Endura-Poly material measuring 12"" X 18"". The flagstaffs are 30"" in height and made of natural wood. Be sure to check out our generous volume discounts."
Rainbow1218,"These handheld rainbow flags measure 12"" X 18"" and are made of good quality polyester. They come mounted on a 24"" natural wood staff and are great for parades, celebrations and giveaways."
irelandflag12X18,"<p align=""justify""> Our 12"" X 18"" Ireland flags conform to all official UN specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, these 12"" X 18"" Ireland flags are made of 100% heavyweight nylon that is specially treated to minimize sun and chemical deterioration. Our Ireland flags are extremely durable, fast-drying, and boast brilliant, fast colors. These nylon Ireland flags are also finished with strong canvas headings and large grommets.<br>

AmericanFlags.com offers the lowest prices on the best quality 12"" X 18"" Ireland Flags available anywhere."
AF439023,"This well-made Air Force flag measures 12"" X 18"" and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Air Force flags are Made in America and ready for immediate shipping to your door!"
Alaska12x18in,"Ideal for outdoor or indoor display, these Alaska state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. These 12"" X 18"" Alaska flags are Made in America and are on sale now!"
AF439022,"This well-made Army flag measures 12"" X 18"" and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Army flags are Made in America and ready for immediate shipping to your door!"
AF439025,"This well-made Coast Guard flag measures 12"" X 18"" and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Coast Guard flags are Made in America and ready for immediate shipping to your door!"
NYLCO1218,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.

These flags are Made in America and are on sale now!"
Delaware12x18in,"Ideal for outdoor or indoor display, these Delaware state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. These 12"" X 18"" Delaware flags are Made in America and are on sale now!"
